epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,1506.39,0.37481,0.22691,0.82282,0.63251,0.53229,0.54267,0.30436,0.92539,0.46036,1.08313,5.2025e-05,5.2025e-05,5.2025e-05
183,1514.23,0.35682,0.22268,0.81072,0.61218,0.5401,0.5433,0.30302,0.92254,0.46505,1.08342,4.955e-05,4.955e-05,4.955e-05
184,1522.09,0.3459,0.21791,0.81164,0.61936,0.53597,0.54813,0.30477,0.92268,0.46558,1.08335,4.7075e-05,4.7075e-05,4.7075e-05
185,1530.56,0.35807,0.22482,0.81541,0.61849,0.53463,0.54,0.30094,0.92104,0.4648,1.08048,4.46e-05,4.46e-05,4.46e-05
186,1538.75,0.36477,0.22882,0.81765,0.62392,0.53406,0.53662,0.30406,0.9193,0.4605,1.07956,4.2125e-05,4.2125e-05,4.2125e-05
187,1546.91,0.33766,0.21182,0.80793,0.62752,0.52699,0.54472,0.30694,0.92489,0.46543,1.08238,3.965e-05,3.965e-05,3.965e-05
188,1554.75,0.35487,0.21852,0.81708,0.63145,0.53759,0.54706,0.30695,0.92715,0.46849,1.08549,3.7175e-05,3.7175e-05,3.7175e-05
189,1562.58,0.35267,0.22229,0.81882,0.62064,0.54112,0.54486,0.30697,0.93005,0.46953,1.08837,3.47e-05,3.47e-05,3.47e-05
190,1570.43,0.37205,0.22403,0.81611,0.63289,0.52656,0.5396,0.30339,0.92958,0.4651,1.08775,3.2225e-05,3.2225e-05,3.2225e-05
191,1578.76,0.32019,0.19338,0.79036,0.60292,0.53659,0.54296,0.30394,0.92844,0.46372,1.09552,2.975e-05,2.975e-05,2.975e-05
192,1586.61,0.36206,0.22442,0.81369,0.61787,0.53955,0.54717,0.30316,0.92791,0.46699,1.1066,2.7275e-05,2.7275e-05,2.7275e-05
193,1594.46,0.32045,0.19553,0.79293,0.61245,0.54,0.55071,0.30357,0.93018,0.46731,1.10971,2.48e-05,2.48e-05,2.48e-05
194,1602.5,0.30286,0.1876,0.78797,0.60673,0.54634,0.545,0.30215,0.93297,0.4732,1.10798,2.2325e-05,2.2325e-05,2.2325e-05
195,1610.34,0.29808,0.18034,0.78751,0.60167,0.5441,0.54549,0.30302,0.93033,0.47595,1.10557,1.985e-05,1.985e-05,1.985e-05
196,1618.61,0.30231,0.18235,0.7868,0.5992,0.5531,0.55044,0.30831,0.92685,0.47565,1.10374,1.7375e-05,1.7375e-05,1.7375e-05
197,1626.98,0.29523,0.18441,0.79169,0.60221,0.55229,0.55892,0.30913,0.92523,0.47393,1.10192,1.49e-05,1.49e-05,1.49e-05
198,1635.43,0.2904,0.18064,0.79409,0.60791,0.55801,0.56682,0.31068,0.92368,0.47027,1.10155,1.2425e-05,1.2425e-05,1.2425e-05
199,1644.07,0.29401,0.1794,0.79222,0.59846,0.55651,0.54566,0.3095,0.92334,0.4711,1.0991,9.95e-06,9.95e-06,9.95e-06
200,1652.69,0.30135,0.18312,0.78511,0.58692,0.55504,0.54459,0.30905,0.9234,0.47295,1.10036,7.475e-06,7.475e-06,7.475e-06
